name,method,params,trades,avg_pnl_pct,total_pnl_usdt,win_rate_pct
E31-2,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 5.0}",971,13.049,13722.89,99.0731204943357364
E31-3,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 7.0}",978,12.746,13014.74,98.6707566462167689
E31-5,E31,"{""noise_cov"": 0.05, ""deviation_pct"": 5.0}",954,12.257,12464.37,98.7421383647798742
E31-4,E31,"{""noise_cov"": 0.05, ""deviation_pct"": 3.0}",948,11.814,12336.92,98.4177215189873418
E31-8,E31,"{""noise_cov"": 0.03, ""deviation_pct"": 4.0}",930,12.781,12035.45,99.5698924731182796
E31-1,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 3.0}",959,11.767,11821.89,98.6444212721584984
E31-9,E31,"{""noise_cov"": 0.03, ""deviation_pct"": 6.0}",919,12.463,11802.33,99.5647442872687704
E31-7,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 6.0}",891,12.843,11630.98,99.5510662177328844
E31-6,E31,"{""noise_cov"": 0.01, ""deviation_pct"": 4.0}",878,11.978,10869.68,99.5444191343963554
E36-1,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 9, ""drop_pct"": 2.0}",907,10.085,9276.00,99.3384785005512679
E36-5,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 50, ""drop_pct"": 10.0}",848,10.232,9251.27,99.0566037735849057
E36-4,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 50, ""drop_pct"": 7.0}",915,9.548,9157.90,99.2349726775956284
E36-9,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 72, ""drop_pct"": 12.0}",780,11.438,9068.91,99.6153846153846154
E36-2,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 9, ""drop_pct"": 3.0}",860,10.053,8799.39,99.3023255813953488
E36-8,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 72, ""drop_pct"": 8.0}",804,9.830,8277.44,99.5024875621890547
E36-3,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 21, ""drop_pct"": 5.0}",858,9.255,8238.82,99.4172494172494172
E18b-3,E18b,"{""adx_max"": 20, ""lookback"": 14, ""rsi_threshold"": 40}",463,17.161,7945.71,99.7840172786177106
E18b-5,E18b,"{""adx_max"": 25, ""lookback"": 14, ""rsi_threshold"": 35}",462,17.157,7934.17,99.7835497835497835
E18b-8,E18b,"{""adx_max"": 25, ""lookback"": 24, ""rsi_threshold"": 35}",460,17.175,7900.40,99.5652173913043478
E18b-1,E18b,"{""adx_max"": 20, ""lookback"": 14, ""rsi_threshold"": 30}",467,16.833,7867.08,99.5717344753747323
E18b-7,E18b,"{""adx_max"": 20, ""lookback"": 24, ""rsi_threshold"": 30}",462,17.007,7857.26,99.5670995670995671
E18b-4,E18b,"{""adx_max"": 25, ""lookback"": 14, ""rsi_threshold"": 30}",454,17.278,7844.33,99.5594713656387665
E7-1,E7,"{""vol_mult"": 1.0, ""squeeze_hours"": 8}",539,13.360,7470.47,98.3302411873840445
E36-7,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 34, ""drop_pct"": 10.0}",770,9.309,7281.98,99.4805194805194805
E18b-6,E18b,"{""adx_max"": 25, ""lookback"": 14, ""rsi_threshold"": 40}",472,15.062,7109.09,99.5762711864406780
E36-6,E36,"{""sigma"": 6.0, ""offset"": 0.85, ""window"": 34, ""drop_pct"": 7.0}",770,9.028,7107.77,99.3506493506493506
E10-9,E10,"{""drop_pct"": 10.0, ""lookback"": 24}",821,8.424,7107.04,99.2691839220462850
E18b-9,E18b,"{""adx_max"": 25, ""lookback"": 24, ""rsi_threshold"": 40}",469,14.892,6984.33,99.5735607675906183
E18b-2,E18b,"{""adx_max"": 20, ""lookback"": 14, ""rsi_threshold"": 35}",463,15.015,6952.16,99.5680345572354212
E7-4,E7,"{""vol_mult"": 1.5, ""squeeze_hours"": 8}",570,11.844,6906.22,99.2982456140350877
E7-5,E7,"{""vol_mult"": 1.5, ""squeeze_hours"": 12}",584,11.532,6877.81,98.9726027397260274
E10-5,E10,"{""drop_pct"": 15.0, ""lookback"": 12}",759,8.755,6741.35,99.2094861660079051
E7-8,E7,"{""vol_mult"": 2.0, ""squeeze_hours"": 12}",548,11.960,6676.09,98.9051094890510949
E10-3,E10,"{""drop_pct"": 7.0, ""lookback"": 12}",796,8.333,6650.88,98.9949748743718593
E10-2,E10,"{""drop_pct"": 5.0, ""lookback"": 12}",802,8.129,6597.33,98.8778054862842893
E10-10,E10,"{""drop_pct"": 15.0, ""lookback"": 24}",749,8.611,6532.71,99.0654205607476636
E10-8,E10,"{""drop_pct"": 7.0, ""lookback"": 24}",742,8.729,6485.06,98.7870619946091644
E10-4,E10,"{""drop_pct"": 10.0, ""lookback"": 12}",799,7.992,6462.57,99.4993742177722153
E10-1,E10,"{""drop_pct"": 3.0, ""lookback"": 12}",773,8.275,6407.13,99.2238033635187581
E7-2,E7,"{""vol_mult"": 1.0, ""squeeze_hours"": 12}",550,11.405,6384.73,98.9090909090909091
E10-11,E10,"{""drop_pct"": 5.0, ""lookback"": 48}",771,8.044,6294.39,99.2217898832684825
E10-12,E10,"{""drop_pct"": 10.0, ""lookback"": 48}",723,8.553,6282.98,99.0318118948824343
E7-14,E7,"{""vol_mult"": 1.6, ""squeeze_hours"": 10}",553,11.190,6241.25,99.4575045207956600
E10-6,E10,"{""drop_pct"": 3.0, ""lookback"": 24}",784,7.687,6137.38,99.1071428571428571
E10-7,E10,"{""drop_pct"": 5.0, ""lookback"": 24}",750,7.781,5921.31,99.2000000000000000
E7-7,E7,"{""vol_mult"": 2.0, ""squeeze_hours"": 8}",569,9.113,5209.42,99.2970123022847100
E7-15,E7,"{""vol_mult"": 1.6, ""squeeze_hours"": 14}",531,9.430,5084.50,99.4350282485875706
E7-16,E7,"{""vol_mult"": 1.7, ""squeeze_hours"": 12}",556,9.011,5032.82,99.4604316546762590
E7-3,E7,"{""vol_mult"": 1.0, ""squeeze_hours"": 24}",562,8.207,4661.35,98.9323843416370107
E7-9,E7,"{""vol_mult"": 2.0, ""squeeze_hours"": 24}",577,7.577,4660.54,98.7868284228769497
E7-6,E7,"{""vol_mult"": 1.5, ""squeeze_hours"": 24}",548,7.840,4331.80,98.5401459854014599
E7-10,E7,"{""vol_mult"": 1.3, ""squeeze_hours"": 10}",525,7.660,4151.55,99.4285714285714286
E7-11,E7,"{""vol_mult"": 1.3, ""squeeze_hours"": 14}",556,6.981,3940.55,99.4604316546762590
E7-12,E7,"{""vol_mult"": 1.4, ""squeeze_hours"": 12}",543,7.116,3897.33,99.4475138121546961
E7-17,E7,"{""vol_mult"": 1.7, ""squeeze_hours"": 16}",569,6.704,3885.87,99.4727592267135325
E7-13,E7,"{""vol_mult"": 1.4, ""squeeze_hours"": 16}",538,6.613,3623.32,99.6282527881040892
